ID,Length_nm,Height_nm,AspectRatio,Solidity_%,Area 3D_nm2,Area 2D_nm2,Group,ImageName
1,87.40234375,3.15589937713822,27.694908267087,96.3309678393477,3165.14263701751,1521.11053466797,isolated,0601.jpk_height
2,63.4765625,2.28534070916302,27.7755357201192,95.5637091394263,2064.83710697231,1366.13845825195,isolated,0601.jpk_height
3,68.359375,2.95059898606245,23.1679653259913,95.9161595672752,2797.93225565522,1691.10298156738,isolated,0601.jpk_height
4,79.1015625,3.19510526001929,24.7571069065569,94.6143437077131,3535.00244868765,1667.02270507812,isolated,0601.jpk_height
5,86.42578125,3.23170152007659,26.7431199054397,96.6558632881556,2640.28675970724,1564.26429748535,isolated,0601.jpk_height
6,111.81640625,2.57374829740009,43.4449656024846,96.09746025191,6703.27937307738,2219.20013427734,isolated,0601.jpk_height
7,51.26953125,2.28980762963105,22.3903224823567,97.3325601623659,1370.47387494585,800.371170043945,isolated,0601.jpk_height
8,69.82421875,2.45337963947216,28.4604215452862,95.7024029574861,1995.19328694139,987.529754638672,isolated,0601.jpk_height
9,94.23828125,2.40070718893883,39.25438374334,93.2346723044397,4618.27257042705,1892.5666809082,isolated,0601.jpk_height
10,68.84765625,2.76767487197487,24.8756300630334,96.5093411996067,1440.35425564241,936.031341552734,isolated,0601.jpk_height
11,50.29296875,1.84409150435934,27.2724908883914,95.6506488951245,1234.60968940626,650.167465209961,isolated,0601.jpk_height
12,162.109375,3.18977860550881,50.8215130416994,92.7747074122237,9913.23408890674,2721.54808044434,isolated,0601.jpk_height
13,145.5078125,2.13481091916158,68.1595785340775,90.8738057324841,7689.60274012876,2177.00004577637,isolated,0601.jpk_height
14,112.3046875,4.15284154582423,27.0428539737868,93.4280211844006,7579.37912139388,2775.90751647949,isolated,0601.jpk_height
15,45.8984375,2.36748796074821,19.3869782068477,98.0386147716825,1365.70110712321,762.701034545898,isolated,0601.jpk_height
16,55.6640625,1.32160915208519,42.1183996888757,96.519577377253,1390.50557128031,740.528106689453,isolated,0601.jpk_height
17,82.51953125,2.02865181265651,40.6770302992217,95.6565656565657,3716.812947626,1354.69436645508,isolated,0601.jpk_height
18,62.01171875,1.74105610533003,35.6173006488181,90.8712541620422,1727.9887850636,780.820846557617,isolated,0601.jpk_height
1,125,6.46908370841697,19.3226746837982,95.357833655706,6652.88117948279,3056.04934692383,vertical,0601.jpk_height
2,167.96875,2.71997673092633,61.7537452031052,92.4047893825736,8794.96546627097,3054.38041687012,vertical,0601.jpk_height
1,147.94921875,4.4078357127191,33.5650483349646,90.4660394001764,8655.87264501653,2934.21745300293,lateral,0601.jpk_height
2,174.8046875,4.40299533475876,39.7013110870301,92.7651890254558,7251.36809738867,3796.81587219238,lateral,0601.jpk_height
3,144.53125,3.89350929528373,37.1210748552913,89.3989850935617,8268.40005390352,2688.16947937012,lateral,0601.jpk_height
4,278.3203125,6.85344449571087,40.6102818333442,93.1013712220529,10551.8300132098,6264.68658447266,lateral,0601.jpk_height
5,95.21484375,2.9967742181,31.7724449092356,87.2514859602377,4223.18519832963,2029.8957824707,lateral,0601.jpk_height
6,80.56640625,3.2023260413848,25.1587143872334,92.4841053587648,3087.40340158294,1942.15774536133,lateral,0601.jpk_height
1,61.03515625,1.63052033829303,37.4329315719526,95.6275303643725,1994.56505220866,844.717025756836,isolated,0602.jpk_height
2,122.0703125,3.89563627123612,31.3351411684197,93.2838660578387,7833.16567468498,2337.93258666992,isolated,0602.jpk_height
3,81.0546875,3.13685860257024,25.8394456905346,93.2769929364278,3876.39841201143,1763.10539245605,isolated,0602.jpk_height
4,91.30859375,5.67738258591496,16.082867830068,97.008547008547,5076.06074069037,2651.92985534668,isolated,0602.jpk_height
5,81.54296875,3.81376685455893,21.381214914206,95.7660566917833,2459.47907284502,1272.67837524414,isolated,0602.jpk_height
6,67.3828125,2.18063479950928,30.900549012225,93.6679977181974,2687.88996470318,1174.4499206543,isolated,0602.jpk_height
1,82.51953125,3.42126857853809,24.1195712513341,95.0504020840412,3891.05807982903,2000.80871582031,vertical,0602.jpk_height
2,91.796875,6.26360842853948,14.6555896728373,96.820313393572,3606.51960141137,2018.21327209473,vertical,0602.jpk_height
3,102.05078125,2.82645786008269,36.1055378504793,91.3381032120566,4217.620219468,1430.51147460938,vertical,0602.jpk_height
1,93.75,4.78158583053803,19.6064659973805,91.2369207772795,5281.89976597152,2328.39584350586,lateral,0602.jpk_height
1,80.078125,3.94836424302878,20.2813418598311,97.3060694579682,2881.13933931623,1429.55780029297,isolated,0603.jpk_height
2,67.3828125,2.79763144869079,24.0856645115042,95.0943396226415,2974.47887138974,1321.79260253906,isolated,0603.jpk_height
3,61.03515625,2.79393702114244,21.8455733927183,97.4338412189254,1964.14821066704,869.035720825195,isolated,0603.jpk_height
4,77.63671875,2.67658307174036,29.0059066612565,94.954128440367,3684.01138739598,1233.81614685059,isolated,0603.jpk_height
5,128.41796875,4.73667592995936,27.1114111771421,95.6482137435482,5878.5820741243,2253.29399108887,isolated,0603.jpk_height
6,140.13671875,6.75758737459608,20.7376850615086,93.0910139910573,8709.38385146686,3077.50701904297,isolated,0603.jpk_height
7,77.63671875,2.90708432100805,26.7060429547771,92.8933021806854,2832.25489972331,1137.49504089355,isolated,0603.jpk_height
8,151.3671875,6.53338160489416,23.1682758874226,95.6649356513886,11930.0497893864,4040.71807861328,isolated,0603.jpk_height
9,128.41796875,3.41862277499802,37.5642406904852,89.3376272956741,9609.20286923196,2447.12829589844,isolated,0603.jpk_height
10,162.59765625,4.15631841944915,39.1205966051921,92.6140231449966,12518.1654979039,3243.68476867676,isolated,0603.jpk_height
11,117.1875,3.50789410077148,33.4067952548018,95.662621650847,3500.97262083509,1898.28872680664,isolated,0603.jpk_height
