Row,Length_nm,Height_nm,AspectRatio,Solidity_%,Area 3D_nm2,Area 2D_nm2,Count
isolated_average,87.6009666313559,2.97593026145721,30.5615880362212,94.6406204350602,4180.38008905772,1590.32466047901,59
isolated_std,34.2347394074129,1.19119006652456,9.00445210506969,2.16427282974634,3095.11358699696,833.901394977825,59
vertical_average,115.315755208333,4.31704777725858,30.8541002382708,94.4339254127695,5972.96498519031,2404.29242451986,6
vertical_std,30.7352264808679,1.67382989699116,16.8874493927959,2.10074528437569,2397.5498046557,681.247131149894,6
lateral_average,137.362393465909,4.26437796819734,32.2752487523382,90.4134465678486,8012.82938710954,3040.36790674383,22
lateral_std,49.937042009524,1.11945218192188,6.60332234937222,2.31101579377599,4484.91400109752,1247.54692189809,22
all_average,102.095680675287,3.39423548723986,31.0151007829669,93.5574250877912,5273.13174347078,2013.13797084764,87
all_std,43.9178385447335,1.34126742686864,9.08070133238882,2.84726499078159,3805.27570657727,1131.04691230362,87
